index,name,state,city,county,enrollment,mmr,overall,xmed,xrel,xper,lat,lng
1453,Homelink,Washington,Hoquiam,Grays Harbor,,,,,,,46.9804547,-123.888427
1454,Hope Academy,Washington,Seattle,King,,,,,,,47.518505,-122.3581594
1455,Hope Lutheran,Washington,Seattle,King,,,,,,,47.563366,-122.385062
1456,Horizon,Washington,Shoreline,King,,,,,,,47.7710196,-122.3778231
1457,Imagination School Of Education,Washington,Tacoma,Pierce,,,,,,,47.1224886,-122.4384815
1458,Index Elementary,Washington,Index,Snohomish,,,,,,,47.820712,-121.5550572
1459,James Sales Elementary,Washington,Tacoma,Pierce,,,,,,,47.155049,-122.451618
1460,K12 Eburg Learning Ctr,Washington,Ellensburg,Kittitas,,,,,,,46.9941004,-120.5440423
1461,Keller Elementary,Washington,Keller,Ferry,,,,,,,48.0784536,-118.6869543
1462,Kent Mountain View Elementary,Washington,Des Moines,King,,,,,,,47.3665648,-122.1937921
1463,Klickitat Elementary & High,Washington,Lyle,Klickitat,,,,,,,45.8163267,-121.153586
1464,Lake Roosevelt Alternative,Washington,Coulee Dam,Grant,,,,,,,47.970145,-118.9731074
1465,Lake Roosevelt Elementary,Washington,Grand Coulee,Grant,,,,,,,47.9382642,-119.0058917
1466,Lake Stickney Elementary,Washington,Lynnwood,Snohomish,,,,,,,47.8704685,-122.2557081
1467,Lewis River Academy,Washington,Woodland,Cowlitz,,,,,,,45.9038438,-122.7499647
1468,Liberty Christian,Washington,Walla Walla,Walla Walla,,,,,,,46.028729,-118.382422
1469,Light Of Faith Christian Academy,Washington,Bothell,Snohomish,,,,,,,47.8338464,-122.2114978
1470,Lincoln Elementary,Washington,Hoquiam,Grays Harbor,,,,,,,46.9912796,-123.8877707
1471,Lowell Elementary,Washington,Bellingham,Whatcom,,,,,,,48.7244787,-122.4990914
1472,Makkah Islamic,Washington,Seattle,King,,,,,,,47.5495424,-122.2866149
1473,Manson Elementary,Washington,Manson,Chelan,,,,,,,47.8899306,-120.1537253
1474,Maple Grove,Washington,Battle Ground,Clark,,,,,,,45.7678161,-122.5437868
1475,Marlin Hutterite,Washington,Warden,Grant,,,,,,,47.3492275,-119.0347569
1476,Mattawa Elementary,Washington,Mattawa,Grant,,,,,,,46.7409257,-119.897128
1477,Mid Columbia Christian,Washington,Othello,Adams,,,,,,,46.8282448,-119.1573857
1478,Midway Learning Center,Washington,Moses Lake,Grant,,,,,,,47.120144,-119.2903562
1479,Mill A Elementary,Washington,Cook,Skamania,,,,,,,45.7572233,-121.6487587
1480,Monroe Montessori,Washington,Monroe,Snohomish,,,,,,,47.85187,-121.980846
1481,Monte Cristo Elementary,Washington,Granite Falls,Snohomish,,,,,,,48.0875379,-121.9832975
1482,Morgen Owings Elementary,Washington,Chelan,Chelan,,,,,,,47.840289,-120.0121387
1483,Morris Schott Elementary,Washington,Mattawa,Grant,,,,,,,46.7417061,-119.8968136
1484,Mountain View Christian,Washington,Sequim,Clallam,,,,,,,48.102533,-123.096348
1485,Mountainview Elementary,Washington,Yakima,Yakima,,,,,,,46.588649,-120.7102279
1486,Mt. Pilchuck Elementary,Washington,Lake Stevens,Snohomish,,,,,,,48.0151115,-122.0582128
1487,Mukilteo Academy,Washington,Mukilteo,Snohomish,,,,,,,47.8811426,-122.2835584
1488,Naval Avenue Elementary,Washington,Bremerton,Kitsap,,,,,,,47.5697482,-122.6473206
1489,Nespelem Elementary,Washington,Nespelem,Okanogan,,,,,,,48.1652768,-118.9872229
1490,Ness Elementary,Washington,Spokane,Spokane,,,,,,,47.6656054,-117.2749209
1491,North Bend Montessori Inc,Washington,North Bend,King,,,,,,,47.49559,-121.7828159
1492,North Coast Montessori,Washington,Pacific Beach,Grays Harbor,,,,,,,47.1955492,-124.1984579
1493,North Mason Homelink,Washington,Belfair,Mason,,,,,,,47.414442,-122.8408265
1494,North Wall Elementary,Washington,Spokane,Spokane,,,,,,,47.742568,-117.4211351
1495,North Whidbey Kid's Academy,Washington,Oak Harbor,Island,,,,,,,48.30129,-122.651228
1496,Northern Heights Elementary,Washington,Bellingham,Whatcom,,,,,,,48.786446,-122.418669
1497,Northern Lights Montessori,Washington,Redmond,King,,,,,,,47.6779593,-122.1267698
1498,Northwest Achieve,Washington,Spokane,Spokane,,,,,,,47.6752409,-117.4137199
1499,Northwest Free,Washington,Renton,King,,,,,,,47.5052511,-122.1710217
1500,Northwest Montessori,Washington,Seattle,King,,,,,,,47.6822691,-122.3003222
1501,Oak Grove Elementary,Washington,Lakewood,Pierce,,,,,,,47.1789183,-122.5552554
1502,Olympic Christian,Washington,Port Angeles,Clallam,,,,,,,48.095769,-123.3014192
1503,Orchard Center Elementary,Washington,Spokane,Spokane,,,,,,,47.6825918,-117.3020372
1504,Orchard Heights Elementary,Washington,Port Orchard,Kitsap,,,,,,,47.5273045,-122.5993848
1505,Our Lady Of The Lake,Washington,Seattle,King,,,,,,,47.6935661,-122.2894855
1506,Pacific Crest Academy,Washington,Camas,Clark,,,,,,,45.5910122,-122.3936008
1507,Pacific Learning Center Nw,Washington,Shoreline,King,,,,,,,47.735176,-122.3542021
