index,state,year,name,type,city,county,mmr,xmed,xrel,lat,lng
546,Connecticut,2017-18,Charles Barnum,Public,Groton,New London,80.60,0.00,2.99,41.384683,-72.067628
547,Connecticut,2017-18,Edison,Public,Bridgeport,Fairfield,80.56,0.00,0.00,41.195252,-73.163109
548,Connecticut,2017-18,The Children's,Nonpublic,Stamford,Fairfield,80.00,0.00,5.71,41.12318,-73.548651
549,Connecticut,2017-18,Wish Museum,Public,Hartford,Hartford,80.00,0.00,0.00,41.794829,-72.675691
550,Connecticut,2017-18,Riverside Magnet School At Goodwin College,Public,East Hartford,Hartford,79.22,0.00,3.90,41.744498,-72.638036
551,Connecticut,2017-18,Park City Magnet,Public,Bridgeport,Fairfield,78.00,0.00,4.00,41.220889,-73.200717
552,Connecticut,2017-18,New Beginnings Inc Family Academy,Public,Bridgeport,Fairfield,70.18,0.00,0.00,41.169724,-73.198901
553,Connecticut,2017-18,Achievement First Hartford Academy Inc.,Nonpublic,Hartford,Hartford,69.33,0.00,0.00,41.784008,-72.697292
554,Connecticut,2017-18,Stamford Charter School For Excellence,Public,Stamford,Fairfield,67.86,0.00,0.00,41.05296,-73.547341
555,Connecticut,2017-18,Aces Village,Public,North Haven,New Haven,,,,41.407836,-72.8414
556,Connecticut,2017-18,Alice Peck Learning Center,Public,Hamden,New Haven,,,,41.421362,-72.921695
557,Connecticut,2017-18,All Nations Christian Academy,Nonpublic,New Haven,New Haven,,,,41.308293,-72.885
558,Connecticut,2017-18,Alpha & Omega Christian Academy,Nonpublic,Waterbury,New Haven,,,,41.55873,-73.039421
559,Connecticut,2017-18,American School For The Deaf,Nonpublic,West Hartford,Hartford,,,,41.77119,-72.746687
560,Connecticut,2017-18,Anchor Academy Dba Regina Pacis Academy,Nonpublic,Norwalk,Fairfield,,,,41.1153098,-73.4138679
561,Connecticut,2017-18,Andover Elementary,Public,Andover,Tolland,,,,41.728967,-72.36624
562,Connecticut,2017-18,Annie E. Vinton,Public,Mansfield,Tolland,,,,41.7461498,-72.2593188
