index,state,year,name,type,county,district,enroll,mmr,overall,xmed,xper,xrel,lat,lng
1310,Colorado,2017-18,Springs Adventist Academy,Kindergarten,El Paso,Elizabeth C-1,7,57.14,28.57,0,28.57,0,38.85665,-104.727321
1311,Colorado,2017-18,Franktown Elementary,Kindergarten,Douglas,Adams-Arapahoe 28J,47,55.32,53.19,0,2.13,0,39.382118,-104.748424
1312,Colorado,2017-18,Secrest Elementary,Kindergarten,Jefferson,Brighton School District,46,43.48,43.48,0,0,0,39.813767,-105.073314
1313,Colorado,2017-18,Pikes Peak Prep,Kindergarten,El Paso,Peyton 23 JT,27,40.74,40.74,0,0,0,38.827498,-104.8153
1314,Colorado,2017-18,Arvada K-8,Kindergarten,Jefferson,Boulder Valley RE 2,47,40.43,40.43,0,0,0,39.800987,-105.089204
1315,Colorado,2017-18,Compass Montessori - Golden Charter,Kindergarten,Jefferson,Denver County 1,20,25,20,0,5,0,39.775029,-105.189557
1316,Colorado,2017-18,North Park,Kindergarten,Jackson,Colorado Springs 11,10,20,20,0,0,0,40.732413,-106.276787
1317,Colorado,2017-18,Apex Home School Enrichment Program,Kindergarten,Boulder,Boulder Valley RE 2,68,16.18,7.35,0,8.82,0,40.073303,-105.17094
1318,Colorado,2017-18,Gateway,Kindergarten,Mesa,Jefferson County R-1,4,0,0,0,0,0,38.682865,-108.971643
1319,Colorado,2017-18,Redeemer Lutheran Tiny Treasures,Kindergarten,Delta,Boulder County,1,0,0,0,0,0,38.73474,-108.049991
