index,state,year,name,type,city,county,mmr,xmed,lat,lng
156,Massachusetts,2018-19,John Ward Elementary,Public,Newton Centre,Middlesex,100,0,42.3403223,-71.1783638
157,Massachusetts,2018-19,Johnson Elementary,Public,Natick,Middlesex,100,0,42.2785089,-71.3508284
158,Massachusetts,2018-19,Joseph C Chamberlain,Public,Taunton,Bristol,100,0,41.9182442,-71.1362585
159,Massachusetts,2018-19,Joseph Estabrook,Public,Lexington,Middlesex,100,1.3,42.4770428,-71.2385552
160,Massachusetts,2018-19,Joseph R Dawe Elementary,Public,Stoughton,Norfolk,100,0,42.139471,-71.0913216
161,Massachusetts,2018-19,Joshua Eaton,Public,Reading,Middlesex,100,0,42.5145873,-71.1106344
162,Massachusetts,2018-19,Josiah Haynes,Public,Sudbury,Middlesex,100,3.9,42.4156947,-71.4151239
163,Massachusetts,2018-19,Katharine Lee Bates,Public,Wellesley,Norfolk,100,0,42.31288,-71.306527
164,Massachusetts,2018-19,Kensington Avenue,Public,Springfield,Hampden,100,0,42.091068,-72.5617169
165,Massachusetts,2018-19,King Elementary,Public,Framingham,Middlesex,100,0,42.325459,-71.4213517
166,Massachusetts,2018-19,L D Batchelder,Public,North Reading,Middlesex,100,0,42.5749401,-71.0798358
167,Massachusetts,2018-19,L F Dewing,Public,Tewksbury,Middlesex,100,0.7,42.6412615,-71.2469601
168,Massachusetts,2018-19,Lake View,Public,Worcester,Worcester,100,0,42.2679158,-71.7590784
169,Massachusetts,2018-19,Lawrence,Public,Brookline,Norfolk,100,1.1,42.3390578,-71.1141694
170,Massachusetts,2018-19,Lawrence Catholic Academy,Private,Lawrence,Essex,100,0,42.6977481,-71.1594252
171,Massachusetts,2018-19,Lawrence Family Public Academy,Public,Lawrence,Essex,100,0,42.7007246,-71.1828554
172,Massachusetts,2018-19,Lee Academy,Public,Dorchester,Suffolk,100,0,42.286794,-71.072708
173,Massachusetts,2018-19,Leeds Elementary,Public,Leeds,Hampshire,100,0,42.351849,-72.6984288
174,Massachusetts,2018-19,Leicester Primary,Public,Leicester,Worcester,100,0,42.2538096,-71.9071108
175,Massachusetts,2018-19,Lilja Elementary,Public,Natick,Middlesex,100,0,42.295155,-71.327629
176,Massachusetts,2018-19,Lincoln Elementary,Public,Melrose,Middlesex,100,0,42.4520692,-71.0716482
177,Massachusetts,2018-19,Lincoln Elementary,Public,Winchester,Middlesex,100,0,42.451189,-71.134497
178,Massachusetts,2018-19,Lincoln,Public,Lowell,Middlesex,100,0,42.630409,-71.320323
179,Massachusetts,2018-19,Lincoln-Eliot Elementary,Public,Newton,Middlesex,100,0,42.3597532,-71.1940532
180,Massachusetts,2018-19,Lincoln-Thomson,Public,Lynn,Essex,100,0,42.466763,-70.9494938
181,Massachusetts,2018-19,Linscott-Rumford,Public,Woburn,Middlesex,100,0,42.5076014,-71.1618697
182,Massachusetts,2018-19,Littleville Elementary,Public,Huntington,Hampshire,100,0,42.2497729,-72.8689455
183,Massachusetts,2018-19,Loker,Public,Wayland,Middlesex,100,0,42.3295794,-71.3468625
184,Massachusetts,2018-19,Louis F Angelo Elementary,Public,Brockton,Plymouth,100,0,42.0952565,-71.0199231
185,Massachusetts,2018-19,Lowell Community Charter,Public,Lowell,Middlesex,100,0,42.6411362,-71.3132534
186,Massachusetts,2018-19,Lt Elmer J Mcmahon Elementary,Public,Holyoke,Hampden,100,0,42.1845182,-72.6477885
187,Massachusetts,2018-19,Luther Conant,Public,Acton,Middlesex,100,0,42.4752583,-71.4363911
188,Massachusetts,2018-19,Lyndon,Public,West Roxbury,Suffolk,100,0,42.2828894,-71.1586118
189,Massachusetts,2018-19,Mabelle Burrell Elementary,Public,Foxboro,Norfolk,100,0,42.0610031,-71.2061476
190,Massachusetts,2018-19,Madeline English,Public,Everett,Middlesex,100,0,42.4134724,-71.0691208
191,Massachusetts,2018-19,Manomet Elementary,Public,Plymouth,Plymouth,100,0,41.921287,-70.5548417
192,Massachusetts,2018-19,Maple,Public,Easthampton,Hampshire,100,0,42.2653834,-72.6615792
193,Massachusetts,2018-19,Maquan Elementary,Public,Hanson,Plymouth,100,0,42.0630699,-70.8569093
194,Massachusetts,2018-19,Maria Hastings,Public,Lexington,Middlesex,100,0,42.4453124,-71.2532767
195,Massachusetts,2018-19,Maria L Baldwin,Public,Cambridge,Middlesex,100,0,42.3823558,-71.1168143
196,Massachusetts,2018-19,Martha Jones,Public,Westwood,Norfolk,100,0,42.2000115,-71.2350887
197,Massachusetts,2018-19,Martin E Young Elementary,Public,Randolph,Norfolk,100,0,42.1529745,-71.0420354
198,Massachusetts,2018-19,Mary D Altavesta,Public,Woburn,Middlesex,100,0,42.5132325,-71.1630284
199,Massachusetts,2018-19,Mary Fonseca Elementary,Public,Fall River,Bristol,100,0,41.701165,-71.137913
200,Massachusetts,2018-19,Mary O Pottenger,Public,Springfield,Hampden,100,0,42.138301,-72.5680855
201,Massachusetts,2018-19,Mason-Rice Elementary,Public,Newton Centre,Middlesex,100,0,42.3325696,-71.1995531
202,Massachusetts,2018-19,May Street,Public,Worcester,Worcester,100,0,42.2618432,-71.8347915
203,Massachusetts,2018-19,Mccarthy-Towne,Public,Acton,Middlesex,100,0,42.4768607,-71.4539516
204,Massachusetts,2018-19,Memorial Elementary,Public,Natick,Middlesex,100,1.2,42.270727,-71.3233863
205,Massachusetts,2018-19,Merriam,Public,Acton,Middlesex,100,0,42.4769367,-71.4535908
206,Massachusetts,2018-19,Michael Driscoll,Public,Brookline,Norfolk,100,0,42.3412433,-71.136298
207,Massachusetts,2018-19,Mile Tree Elementary,Public,Wilbraham,Hampden,100,0.7,42.1109449,-72.4379458
208,Massachusetts,2018-19,Montclair Elementary,Public,Quincy,Norfolk,100,0,42.2707176,-71.0321328
209,Massachusetts,2018-19,Moody,Public,Lowell,Middlesex,100,0,42.6368851,-71.2973856
210,Massachusetts,2018-19,Moreau Hall,Public,North Easton,Bristol,100,0,42.061892,-71.086346
211,Massachusetts,2018-19,Morningside Community,Public,Pittsfield,Berkshire,100,0,42.4568475,-73.2444012
212,Massachusetts,2018-19,Morse,Public,Cambridge,Middlesex,100,0,42.35569,-71.112298
213,Massachusetts,2018-19,Mulcahey Elementary,Public,Taunton,Bristol,100,0.9,41.9045015,-71.1119563
214,Massachusetts,2018-19,Mulready Elementary,Public,Hudson,Middlesex,100,0,42.3971958,-71.5408184
215,Massachusetts,2018-19,Neighborhood House Charter,Public,Dorchester,Suffolk,100,0,42.2933252,-71.0534506
216,Massachusetts,2018-19,Newman,Public,Needham,Norfolk,100,0,42.2819731,-71.2561456
217,Massachusetts,2018-19,Norrback Avenue,Public,Worcester,Worcester,100,0,42.3279019,-71.7954582
218,Massachusetts,2018-19,North Shore Academy Lower,Private,Peabody,Essex,100,0,42.543175,-71.001893
219,Massachusetts,2018-19,Northbridge Elementary,Public,Whitinsville,Worcester,100,0,42.1106796,-71.6601822
220,Massachusetts,2018-19,Old Post Rd Elementary,Public,East Walpole,Norfolk,100,0,42.1456025,-71.2228226
221,Massachusetts,2018-19,Orleans Elementary,Public,Orleans,Barnstable,100,3.3,41.781574,-69.993431
222,Massachusetts,2018-19,Park,Private,Brookline,Norfolk,100,0,42.3154664,-71.1339472
223,Massachusetts,2018-19,Parkview,Public,North Easton,Bristol,100,1.1,42.05075,-71.107835
224,Massachusetts,2018-19,Parmenter,Public,Franklin,Norfolk,100,0,42.071802,-71.395426
225,Massachusetts,2018-19,Paul P. Gates,Public,Acton,Middlesex,100,0,42.479221,-71.4736594
226,Massachusetts,2018-19,Paxton Center,Public,Paxton,Worcester,100,0,42.3100435,-71.9296655
227,Massachusetts,2018-19,Peirce Elementary,Public,West Newton,Middlesex,100,0,42.3419924,-71.2315034
228,Massachusetts,2018-19,Peirce,Public,Arlington,Middlesex,100,0,42.4287056,-71.1783327
229,Massachusetts,2018-19,Peter Noyes,Public,Sudbury,Middlesex,100,0,42.3826322,-71.4090636
230,Massachusetts,2018-19,Pike,Private,Andover,Essex,100,0,42.6320407,-71.1317647
231,Massachusetts,2018-19,Pine Glen Elementary,Public,Burlington,Middlesex,100,0,42.5219466,-71.2058398
232,Massachusetts,2018-19,Pine Grove,Public,Rowley,Essex,100,0,42.7169944,-70.8744507
233,Massachusetts,2018-19,Pine Hill,Public,Sherborn,Middlesex,100,0,42.2481168,-71.3645347
234,Massachusetts,2018-19,Plains Elementary,Public,South Hadley,Hampshire,100,0,42.2269715,-72.5738893
235,Massachusetts,2018-19,Pope John Paul Ii /Neponset Campus,Private,Dorchester,Suffolk,100,0,42.2908789,-71.0492507
236,Massachusetts,2018-19,Pope John Paul Ii Academy (Lower),Private,Dorchester,Suffolk,100,0,42.2744103,-71.0695222
237,Massachusetts,2018-19,Potter Road,Public,Framingham,Middlesex,100,0,42.3398253,-71.4084194
238,Massachusetts,2018-19,Quincy Catholic Academy,Private,Quincy,Norfolk,100,0,42.274734,-71.0263895
239,Massachusetts,2018-19,Rice Square,Public,Worcester,Worcester,100,0,42.2480279,-71.7771123
240,Massachusetts,2018-19,Richard J Murphy,Public,Dorchester,Suffolk,100,0,42.2942937,-71.0493467
241,Massachusetts,2018-19,Riverside Elementary,Public,Danvers,Essex,100,0,42.5603755,-70.9233788
242,Massachusetts,2018-19,Rollins Early Childhood Ctr,Public,Lawrence,Essex,100,0,42.7140441,-71.1507331
243,Massachusetts,2018-19,Roosevelt Avenue,Public,North Attleboro,Bristol,100,2,41.9784,-71.341058
244,Massachusetts,2018-19,Salemwood,Public,Malden,Middlesex,100,0,42.4314451,-71.0502411
245,Massachusetts,2018-19,Saltonstall,Public,Salem,Essex,100,0,42.5135347,-70.8915567
246,Massachusetts,2018-19,Samuel Adams,Public,East Boston,Suffolk,100,0,42.3655183,-71.0349256
247,Massachusetts,2018-19,Samuel Brown,Public,Peabody,Essex,100,0,42.5072122,-70.950595
248,Massachusetts,2018-19,Samuel W Mason,Public,Roxbury,Suffolk,100,0,42.3261333,-71.0713134
249,Massachusetts,2018-19,Samuel Watson,Public,Fall River,Bristol,100,0,41.6843509,-71.1305752
250,Massachusetts,2018-19,Shady Hill,Private,Cambridge,Middlesex,100,0,42.37195,-71.137113
251,Massachusetts,2018-19,Shamrock,Public,Woburn,Middlesex,100,0,42.4775019,-71.1413731
252,Massachusetts,2018-19,Shurtleff Early Childhood,Public,Chelsea,Suffolk,100,0.4,42.3896466,-71.0354301
253,Massachusetts,2018-19,Snug Harbor,Public,Quincy,Norfolk,100,0,42.2539127,-70.9648422
254,Massachusetts,2018-19,Solomon Schechter Day,Private,Newton Centre,Middlesex,100,3.2,42.2916314,-71.1880655
255,Massachusetts,2018-19,South Elementary,Public,Stoughton,Norfolk,100,0,42.1114975,-71.0833149
256,Massachusetts,2018-19,South Row,Public,Chelmsford,Middlesex,100,0,42.5773258,-71.3355311
257,Massachusetts,2018-19,South,Public,Somerset,Bristol,100,0,41.7370184,-71.1655741
258,Massachusetts,2018-19,South St Elementary,Public,Fitchburg,Worcester,100,0,42.5710336,-71.79778
259,Massachusetts,2018-19,Spaulding Memorial,Public,Townsend,Middlesex,100,0,42.6701169,-71.7128846
260,Massachusetts,2018-19,Spencer Borden,Public,Fall River,Bristol,100,0,41.7133259,-71.1310162
261,Massachusetts,2018-19,Sprague Elementary,Public,Wellesley,Norfolk,100,0,42.304492,-71.297584
262,Massachusetts,2018-19,Spring Street,Public,Shrewsbury,Worcester,100,0,42.3053964,-71.7022774
263,Massachusetts,2018-19,Squantum Elementary,Public,Quincy,Norfolk,100,0,42.2973785,-71.0120032
264,Massachusetts,2018-19,St Columbkille Elementary,Private,Brighton,Suffolk,100,0,42.3519815,-71.1521134
265,Massachusetts,2018-19,St John The Baptist,Private,Peabody,Essex,100,0,42.5257125,-70.9302989
266,Massachusetts,2018-19,St Joseph,Private,Needham,Norfolk,100,0,42.2825248,-71.2347042
267,Massachusetts,2018-19,St Mary Of Assumption,Private,Brookline,Norfolk,100,0,42.3352221,-71.1191843
268,Massachusetts,2018-19,St Michael Elementary,Private,Lowell,Middlesex,100,0,42.6514976,-71.3019397
269,Massachusetts,2018-19,St Michaels Elementary,Private,Springfield,Hampden,100,0,42.094454,-72.538942
270,Massachusetts,2018-19,St Raphael,Private,Medford,Middlesex,100,0,42.4210757,-71.1349096
271,Massachusetts,2018-19,Streiber Memorial,Public,Chicopee,Hampden,100,0,42.1944788,-72.5783855
272,Massachusetts,2018-19,Sunderland Elmentary,Public,Sunderland,Franklin,100,3.2,42.4621484,-72.5754113
273,Massachusetts,2018-19,Tatnuck Elementary,Public,Worcester,Worcester,100,0,42.2787125,-71.8509868
274,Massachusetts,2018-19,Tenney Grammar,Public,Methuen,Essex,100,0,42.7321041,-71.1774321
275,Massachusetts,2018-19,The Center,Public,Stow,Middlesex,100,0,42.4381261,-71.5083145
276,Massachusetts,2018-19,Thomas Carroll,Public,Peabody,Essex,100,0,42.5322627,-70.9175973
277,Massachusetts,2018-19,Thomas E Willett,Public,Attleboro,Bristol,100,0,41.9462683,-71.2913536
278,Massachusetts,2018-19,Tilton,Public,Haverhill,Essex,100,0,42.7750498,-71.0955834
279,Massachusetts,2018-19,Underwood Elementary,Public,Newton,Middlesex,100,0,42.3551651,-71.1837964
280,Massachusetts,2018-19,Union Hill,Public,Worcester,Worcester,100,0,42.2531218,-71.7889374
281,Massachusetts,2018-19,Up Academy Dorchester,Public,Dorchester,Suffolk,100,0,42.2999814,-71.0710011
282,Massachusetts,2018-19,Vincent M Igo Elementary,Public,Foxboro,Norfolk,100,0,42.0610247,-71.2508694
283,Massachusetts,2018-19,Walter J Paton,Public,Shrewsbury,Worcester,100,0,42.292606,-71.7131731
284,Massachusetts,2018-19,Washington,Public,Springfield,Hampden,100,0,42.0826813,-72.5495755
285,Massachusetts,2018-19,Webster,Public,Everett,Middlesex,100,0,42.4124632,-71.0389068
286,Massachusetts,2018-19,West Elementary,Public,Andover,Essex,100,0,42.6646502,-71.1718658
287,Massachusetts,2018-19,West Elementary,Public,Stoughton,Norfolk,100,0,42.1325417,-71.1127731
288,Massachusetts,2018-19,West Memorial,Public,Peabody,Essex,100,0,42.548048,-71.013784
289,Massachusetts,2018-19,West Somerville Neighborhood,Public,Somerville,Middlesex,100,0,42.4062364,-71.126566
