index,state,year,name,type,city,county,enroll,mmr,xmed,xper,xrel,lat,lng
482,Utah,2017-18,Traverse Mountain Elementary,Public,Lehi,Utah,1246,93.5,0.08,4.49,0,40.4460734,-111.8908177
483,Utah,2017-18,Fielding Elementary,Public,Fielding,Box Elder,367,93.46,0,6.54,0,41.8151311,-112.1175253
484,Utah,2017-18,C.S. Lewis Academy,Public,Payson,Utah,320,93.44,0,5.94,0,39.9820843,-111.7656582
485,Utah,2017-18,East Midvale Elementary,Public,Midvale,Salt Lake,608,93.42,0,1.81,0.33,40.6250015,-111.8831026
486,Utah,2017-18,Wilson Elementary-Payson,Public,Payson,Utah,439,93.39,0,6.15,0,40.0369981,-111.7410691
487,Utah,2017-18,Monroe Elementary-Monroe,Public,Monroe,Sevier,543,93.37,0.37,6.08,0,38.6322875,-112.123159
488,Utah,2017-18,Eastwood Elementary,Public,Salt Lake City,Salt Lake,300,93.33,0,6.67,0,40.6998621,-111.7936186
489,Utah,2017-18,Lehi Elementary,Public,Lehi,Utah,656,93.29,0.15,6.1,0,40.3970115,-111.8509322
490,Utah,2017-18,Farmington Elementary,Public,Farmington,Davis,513,93.18,0,6.63,0,40.9772991,-111.8890409
491,Utah,2017-18,Highland Elementary,Public,Highland,Utah,833,93.16,0.24,4.8,0,40.4293319,-111.803266
492,Utah,2017-18,East Elementary - Roosevelt,Public,Roosevelt,Duchesne,364,93.13,0,4.95,0,40.3052225,-109.9813484
493,Utah,2017-18,Freedom Preparatory Academy-Provo,Public,Provo,Utah,638,93.1,0.16,6.74,0,40.2468672,-111.6794886
494,Utah,2017-18,Fillmore Elementary,Public,Fillmore,Millard,389,93.06,0,5.91,0,38.9593189,-112.3390152
495,Utah,2017-18,Willow Canyon Elementary,Public,Sandy,Salt Lake,373,93.03,0.27,6.7,0,40.5759122,-111.8467347
496,Utah,2017-18,Conamore School-Special,Public,Myton,Duchesne,43,93.02,0,6.98,0,40.1945497,-110.0580749
497,Utah,2017-18,Mapleton Elementary,Public,Mapleton,Utah,657,93,0.3,5.63,0,40.1310824,-111.580641
498,Utah,2017-18,Providence Hall-Elementary,Public,Herriman,Salt Lake,786,93,0,7,0,40.4850606,-112.0043216
