index,state,year,name,county,enroll,mmr,overall,xmed,xper,xrel,lat,lng
23,Vermont,2018-19,Kurn Hattin Homes,Windham,84,100,97.61904762,,,,43.0659094,-72.4754641
24,Vermont,2018-19,Learn,Caledonia,17,100,100,,,,44.55051,-72.0481907
25,Vermont,2018-19,Leicester Central,Addison,57,100,98.24561404,,,,43.86683,43.86683
26,Vermont,2018-19,Mansfield Cooperative,Chittenden,11,100,81.81818182,,,,44.403639,-72.9951732
27,Vermont,2018-19,Mosaic Learning Center,Chittenden,14,100,92.85714286,,,,44.496451,-73.15903
28,Vermont,2018-19,Mount Mansfield Winter Academy,Lamoille,45,100,86.66666667,,,,44.491055,-72.735725
29,Vermont,2018-19,Mount Snow Academy Alpine Training Ctr,Windham,37,100,100,,,,42.9496614,-72.8722608
30,Vermont,2018-19,Newbury Elementary,Orange,127,100,99.21259843,,,,44.0794494,-72.0603798
31,Vermont,2018-19,North American Hockey Academy,Lamoille,38,100,100,,,,44.4902306,-72.7330011
32,Vermont,2018-19,Okemo Mountain,Windsor,51,100,100,,,,43.397602,-72.689786
33,Vermont,2018-19,RAP,Windsor,29,100,100,,,,43.696484,-72.3241647
34,Vermont,2018-19,Readsboro Elementary,Bennington,38,100,94.73684211,,,,42.771786,-72.940575
35,Vermont,2018-19,Rock Point,Chittenden,23,100,91.30434783,,,,44.495421,-73.237592
36,Vermont,2018-19,Sharon Elementary,Windsor,131,100,99.23664122,,,,43.7850375,-72.4560844
37,Vermont,2018-19,Sheldon Academy,Rutland,23,100,100,,,,43.6075696,-72.9836022
38,Vermont,2018-19,Stamford Elementary,Bennington,76,100,96.05263158,,,,42.7549141,-73.0672467
39,Vermont,2018-19,Stone Path Academy,Washington,10,100,100,,,,44.292618,-72.688698
40,Vermont,2018-19,Sudbury Country,Rutland,30,100,96.66666667,,,,43.822285,43.822285
41,Vermont,2018-19,Sunderland Elementary,Bennington,81,100,98.7654321,,,,43.084578,43.084578
42,Vermont,2018-19,Thaddeus Stevens,Caledonia,52,100,94.23076923,,,,44.5369009,-72.0136899
43,Vermont,2018-19,The Arlington,Caledonia,33,100,96.96969697,,,,44.464501,-73.1596923
44,Vermont,2018-19,The Mountain School Of Milton Academy,Orange,44,100,100,,,,43.9543339,-72.3360718
45,Vermont,2018-19,The Prosper Valley,Windsor,70,100,92.85714286,,,,43.653466,-72.528949
46,Vermont,2018-19,True North Wilderness Program,Washington,13,100,100,,,,44.1826828,-72.8401102
47,Vermont,2018-19,Vermont Day,Chittenden,51,100,100,,,,44.3608977,-73.235502
48,Vermont,2018-19,Waits River Valley Union,Orange,217,100,99.07834101,,,,44.0797483,-72.261316
49,Vermont,2018-19,Waterford Elementary,Caledonia,141,100,99.29078014,,,,44.4025729,-71.927544
50,Vermont,2018-19,Wells Village,Rutland,76,100,96.05263158,,,,43.417966,43.417966
51,Vermont,2018-19,Williamstown Elementary,Orange,192,100,100,,,,44.123554,-72.545708
52,Vermont,2018-19,Wolcott Mennonite,Lamoille,28,100,92.85714286,,,,44.5697442,-72.5051953
53,Vermont,2018-19,Woodford Hollow,Bennington,18,100,100,,,,42.894092,42.894092
54,Vermont,2018-19,Woodside Juvenile Rehab Center,Chittenden,7,100,100,,,,44.5022201,-73.1447091
55,Vermont,2018-19,Mt. Mansfield Union,Chittenden,790,99.87341772,99.36708861,,,,44.486184,-72.962048
