index,state,year,name,county,enroll,mmr,lat,lng
34,South Dakota,2017-18,Corral Drive Elementary,Pennington,75,100,44.0403429,-103.2801124
35,South Dakota,2017-18,Corsica-Stickney Elementary,Aurora,19,100,43.4234326,-98.4006456
36,South Dakota,2017-18,Crazy Horse Elementary,Jackson,30,100,43.5729956,-101.6688507
37,South Dakota,2017-18,Crow Creek Elementary,Hyde,39,100,44.245751,-99.4538376
38,South Dakota,2017-18,Deerfield Colony Elementary,Edmunds,2,100,45.4040401,-98.9059817
39,South Dakota,2017-18,Deubrook Elementary,Brookings,19,100,44.5696226,-96.639911
40,South Dakota,2017-18,Deuel Elementary,Deuel,34,100,44.754206,-96.6847783
41,South Dakota,2017-18,Doland Elementary,Spink,8,100,44.897328,-98.102575
42,South Dakota,2017-18,Edgemont Elementary,Fall River,10,100,43.3016362,-103.8333213
43,South Dakota,2017-18,Edmunds Central Elementary,Edmunds,13,100,45.452925,-99.337738
44,South Dakota,2017-18,Elk Point-Jefferson Elementary,Union,44,100,42.6820269,-96.689091
45,South Dakota,2017-18,Endeavor Elementary,Lincoln,74,100,43.4660656,-96.7538721
46,South Dakota,2017-18,Estelline Elementary,Hamlin,23,100,44.5763765,-96.8968821
47,South Dakota,2017-18,Ethan Elementary,Davison,19,100,43.5451512,-97.9852994
48,South Dakota,2017-18,Eureka Elementary,McPherson,8,100,45.7695762,-99.6226613
49,South Dakota,2017-18,Faith Elementary,Meade,5,100,45.0191576,-102.0413602
50,South Dakota,2017-18,Flandreau Elementary,Moody,45,100,44.0517041,-96.6041884
51,South Dakota,2017-18,For His Glory,Hughes,3,100,44.3641089,-100.3339575
52,South Dakota,2017-18,Frederick Elementary,Brown,11,100,45.8323245,-98.5048521
53,South Dakota,2017-18,Freeman Davis Elementary,Walworth,47,100,45.5372162,-100.4279129
54,South Dakota,2017-18,Freeman Elementary,Hutchinson,26,100,43.3463273,-97.430307
55,South Dakota,2017-18,Garfield Elementary,Minnehaha,92,100,43.539636,-96.757094
56,South Dakota,2017-18,Gayville-Volin Elementary,Yankton,19,100,42.8933218,-97.1728492
57,South Dakota,2017-18,General Beadle Elementary,Pennington,73,100,44.0938824,-103.2131596
58,South Dakota,2017-18,Gertie Belle Rogers Elementary,Davison,76,100,43.7219727,-98.0241232
59,South Dakota,2017-18,Glendale Colony Elementary,Spink,3,100,44.7990294,-98.2817089
60,South Dakota,2017-18,Good Shepherd Elementary,Minnehaha,6,100,43.5011448,-96.6871856
61,South Dakota,2017-18,Grandview Elementary,Pennington,68,100,44.0536521,-103.2174783
62,South Dakota,2017-18,Grass Ranch Colony Elementary,Brule,3,100,43.7455378,-98.9549959
63,South Dakota,2017-18,Grassland Colony Elementary,McPherson,1,100,45.6663541,-98.7926734
64,South Dakota,2017-18,Greenwood Colony Elementary,Douglas,1,100,43.2251128,-98.1488623
65,South Dakota,2017-18,Hamlin Elementary,Hamlin,68,100,44.657038,-97.291774
66,South Dakota,2017-18,Hanson Elementary,Hanson,24,100,43.656236,-97.785392
67,South Dakota,2017-18,He Dog Elementary,Todd,17,100,43.3029,-100.7406
68,South Dakota,2017-18,Henry Elementary,Codington,13,100,44.8816982,-97.4607738
69,South Dakota,2017-18,Herreid Elementary,Campbell,5,100,45.8347136,-100.0692843
70,South Dakota,2017-18,Highmore Elementary,Hyde,17,100,44.516434,-99.4421122
71,South Dakota,2017-18,Hill City Elementary,Pennington,26,100,43.9287504,-103.575418
72,South Dakota,2017-18,Hillcrest Colony Elementary,Clark,3,100,44.9446974,-97.6705345
73,South Dakota,2017-18,Hillside Colony Elementary,Spink,1,100,44.737364,-98.049005
74,South Dakota,2017-18,Hitchcock-Tulare Elementary,Beadle,12,100,44.6306055,-98.4096905
75,South Dakota,2017-18,Holy Trinity Catholic Elementary,Beadle,19,100,44.3422897,-98.2212124
76,South Dakota,2017-18,Horizon Elementary,Minnehaha,33,100,43.4914324,-96.6770696
77,South Dakota,2017-18,Hoven Elementary,Potter,9,100,45.2398735,-99.7784673
78,South Dakota,2017-18,Howard Elementary,Miner,19,100,44.0129924,-97.5294461
79,South Dakota,2017-18,Hutterische Colony Elementary,Bon Homme,4,100,42.863233,-97.706499
80,South Dakota,2017-18,Immaculate Conception Elementary,Codington,14,100,44.8979383,-97.110735
81,South Dakota,2017-18,Interior Elementary,Jackson,6,100,43.7264356,-101.983167
82,South Dakota,2017-18,Jamesville Colony Elementary,Hutchinson,1,100,43.1029626,-97.4836605
83,South Dakota,2017-18,Jefferson Elementary,Codington,67,100,44.9218217,-97.1123339
84,South Dakota,2017-18,John Harris Elementary,Minnehaha,103,100,43.5066978,-96.6841077
85,South Dakota,2017-18,Kadoka Elementary,Jackson,12,100,43.8369129,-101.5206972
86,South Dakota,2017-18,Kennebec Elementary,Lyman,13,100,43.9026371,-99.8605418
87,South Dakota,2017-18,Klein Elementary,Todd,2,100,43.3078583,-100.4737927
88,South Dakota,2017-18,Knollwood Heights Elementary,Pennington,71,100,44.100568,-103.2069391
89,South Dakota,2017-18,Lake Preston Elementary,Kingsbury,15,100,44.361226,-97.3731793
90,South Dakota,2017-18,Lakeview Colony Elementary,Charles Mix,8,100,43.219659,-98.461202
91,South Dakota,2017-18,Lakeview Elementary,Todd,5,100,43.0750364,-100.7518641
92,South Dakota,2017-18,Laura Ingalls Wilder Elementary,Kingsbury,23,100,44.3837968,-97.5571225
93,South Dakota,2017-18,Lawrence Elementary,Lincoln,51,100,43.3071948,-96.5814199
94,South Dakota,2017-18,Leola Elementary,McPherson,10,100,45.7195691,-98.9376996
95,South Dakota,2017-18,Lifescape Children's Specialty,Minnehaha,3,100,43.529379,-96.756134
96,South Dakota,2017-18,Lincoln Elementary,Brown,56,100,45.4607688,-98.5032853
97,South Dakota,2017-18,Lincoln Elementary,Codington,87,100,44.9126987,-97.0934853
98,South Dakota,2017-18,Little Eagle Grant,Corson,10,100,45.6754883,-100.8065674
99,South Dakota,2017-18,Little Wound Elementary,Ogalala Lakota,52,100,43.424833,-102.175301
100,South Dakota,2017-18,Longfellow Elementary,Davison,61,100,43.710517,-98.013577
101,South Dakota,2017-18,Longvalley Elementary,Jackson,3,100,43.4982825,-101.5009932
102,South Dakota,2017-18,Ludlow Elementary,Harding,2,100,44.066746,-102.090322
103,South Dakota,2017-18,Madison Christian Elementary,Lake,7,100,43.9933036,-97.0409161
104,South Dakota,2017-18,Marion Elementary,Turner,13,100,43.4216492,-97.2589873
105,South Dakota,2017-18,Marty Elementary,Charles Mix,10,100,42.9943963,-98.4247623
106,South Dakota,2017-18,Maurine Elementary,Meade,1,100,45.0228473,-102.3502516
107,South Dakota,2017-18,Maxwell Colony Elementary,Hutchinson,6,100,43.1839271,-97.6376874
108,South Dakota,2017-18,Mayfield Colony Elementary,Clark,3,100,44.6944,-97.5739
109,South Dakota,2017-18,Mccook Central Elementary,McCook,28,100,43.728033,-97.385766
110,South Dakota,2017-18,Mcintosh Elementary,Corson,10,100,45.9222666,-101.3500773
111,South Dakota,2017-18,Mckinley Elementary,Codington,41,100,44.9021658,-97.134979
112,South Dakota,2017-18,Mclaughlin Elementary,Corson,34,100,45.8144431,-100.8104113
113,South Dakota,2017-18,Mellette Elementary,Codington,45,100,44.9088539,-97.1178691
114,South Dakota,2017-18,Mike Miller Elementary,Brown,39,100,45.4648413,-98.4459221
115,South Dakota,2017-18,Milesville Elementary,Haakon,1,100,44.0422502,-101.6687357
116,South Dakota,2017-18,Millbrook Colony Elementary,Hanson,1,100,43.6734591,-97.8748798
117,South Dakota,2017-18,Miller Elementary,Hand,42,100,44.5192355,-98.9799754
118,South Dakota,2017-18,Millerdale Colony Elementary,Hand,3,100,44.3994946,-99.1117708
119,South Dakota,2017-18,Montessori School Of Aberdeen Elementary,Brown,3,100,45.4578146,-98.4703937
120,South Dakota,2017-18,Montrose Elementary,McCook,13,100,43.697971,-97.187797
