index,state,year,name,address,city,county,district,enroll,mmr,overall,xmed,xper,xrel,lat,lng
574,North Carolina,2018-19,Norlina Christian,,,Warren,,4,,100,0,,0,36.43882,-78.189076
575,North Carolina,2018-19,North Canton Elementary,,,Haywood,,48,,100,0,,2.1,35.546574,-82.834199
576,North Carolina,2018-19,North Carolina Connections Academy,,,Durham,,71,,100,0,,21.1,35.9138316,-78.9016585
577,North Carolina,2018-19,North Chatham Elementary,,,Chatham,,90,,100,1.1,,1.1,35.822108,-79.037603
578,North Carolina,2018-19,North Cove Elementary,,,McDowell,,29,,100,0,,0,35.7890242,-82.0338889
579,North Carolina,2018-19,North East Carolina Preparatory,,,Edgecombe,,45,,100,0,,2.2,35.8917142,-77.5807499
580,North Carolina,2018-19,North Elementary,,,Caswell,,64,,100,1.6,,3.1,36.529202,-79.396737
581,North Carolina,2018-19,North Liberty,,,Burke,,6,,100,0,,33.3,35.708713,-81.670682
582,North Carolina,2018-19,North Newton Elementary,,,Catawba,,74,,100,0,,0,35.679912,-81.222448
583,North Carolina,2018-19,North Raleigh Christian Academy,,,Wake,,75,,100,0,,6.7,35.87953,-78.543251
584,North Carolina,2018-19,North Shelby,,,Cleveland,,0,,100,0,,0,35.2928665,-81.5456967
585,North Carolina,2018-19,North Wilkesboro Elementary,,,Wilkes,,52,,100,0,,0,36.177835,-81.138492
586,North Carolina,2018-19,Northeast Academy,,,Northampton,,9,,100,0,,0,36.35649,-77.305841
587,North Carolina,2018-19,Northside Elementary,,,Pasquotank,,64,,100,0,,0,36.363137,-76.272898
588,North Carolina,2018-19,Northside Elementary,,,Orange,,53,,100,0,,1.9,35.9175093,-79.0632149
589,North Carolina,2018-19,Northview Baptist Academy,,,Cumberland,,9,,100,0,,22.2,35.19434,-78.850181
590,North Carolina,2018-19,Northwest Elementary,,,Davidson,,82,,100,1.2,,0,35.942332,-80.301299
591,North Carolina,2018-19,Northwood Temple Academy,,,Cumberland,,28,,100,0,,0,35.1176,-78.879371
592,North Carolina,2018-19,Northwoods Elementary,,,Wake,,113,,100,0,,3.5,35.795412,-78.789735
593,North Carolina,2018-19,O'Neal,,,Moore,,31,,100,0,,0,35.22369,-79.408607
594,North Carolina,2018-19,Oak Grove Elementary,,,Durham,,95,,100,0,,0,35.979869,-78.818858
595,North Carolina,2018-19,Oak Grove Elementary,,,Wake,,98,,100,0,,1,35.713634,-78.783589
596,North Carolina,2018-19,Oak Hill  Elementary,,,Burke,,62,,100,0,,0,35.776352,-81.756582
597,North Carolina,2018-19,Oak Lane Elementary,,,Person,,38,,100,0,,0,36.274364,-79.09667
598,North Carolina,2018-19,Oakboro Choice STEM,,,Stanly,,51,,100,0,,0,35.234039,-80.335532
599,North Carolina,2018-19,Oaks Road Academy,,,Craven,,62,,100,0,,0,35.1271254,-77.0657101
600,North Carolina,2018-19,Oakview Elementary,,,Wake,,154,,100,0,,2.6,35.6619687,-78.8660216
601,North Carolina,2018-19,Oakwood Elementary,,,Catawba,,53,,100,0,,0,35.737388,-81.343721
602,North Carolina,2018-19,Ocracoke,,,Hyde,,12,,100,0,,0,35.112153,-75.978434
603,North Carolina,2018-19,Odyssey Community,,,Buncombe,,16,,100,0,,43.8,35.61042,-82.567541
604,North Carolina,2018-19,Old Dock Elementary,,,Columbus,,38,,100,0,,0,34.164607,-78.595182
605,North Carolina,2018-19,Old Fort Elementary,,,McDowell,,42,,100,0,,2.4,35.6258221,-82.1796302
606,North Carolina,2018-19,Olds Elementary,,,Wake,,43,,100,0,,0,35.793688,-78.675045
607,North Carolina,2018-19,Olive Chapel Elementary,,,Wake,,159,,100,0,,1.3,35.734843,-78.894349
608,North Carolina,2018-19,Onslow Christian Academy,,,Onslow,,0,,100,0,,0,34.7741463,-77.4117961
609,North Carolina,2018-19,Open Door,,,Pitt,,16,,100,0,,0,35.5403,-77.416731
610,North Carolina,2018-19,Our Lady of Assumption Cath Sch,,,Mecklenburg,,18,,100,0,,0,35.2304908,-80.7519801
611,North Carolina,2018-19,Our Lady of Lourdes Catholic Sch,,,Wake,,39,,100,0,,0,35.819235,-78.634689
612,North Carolina,2018-19,Our Lady of Mercy Catholic Sch,,,Forsyth,,14,,100,0,,0,36.0704386,-80.2616839
