index,state,year,name,city,county,district,enrollment,overall,xmed,xrel,lat,lng
248,Idaho,2018-19,Central Elementary School-Sugar City,Sugar City,Madison,Sugar-Salem,101,86.13861386,0,7.920792079,43.8747859,-111.7428883
249,Idaho,2018-19,Betty Kiefer Elementary,Rathdrum,Kootenai,Lakeland,72,86.11111111,0,8.333333333,47.7982461,-116.898781
250,Idaho,2018-19,Idaho Arts Charter,Nampa,Canyon,Charter,120,85.83333333,0,13.33333333,43.583641,-116.552371
251,Idaho,2018-19,Bliss K-8,Bliss,Gooding,Bliss,14,85.71428571,0,0,42.9229245,-114.9427128
252,Idaho,2018-19,Centennial Baptist,Caldwell,Canyon,Private,21,85.71428571,0,14.28571429,43.6330225,-116.6542162
253,Idaho,2018-19,Declo Elementary,Declo,Cassia,Cassia,63,85.71428571,0,7.936507937,42.51712,-113.6253153
254,Idaho,2018-19,Idaho Science & Technology Charter,Blackfoot,Bingham,Charter,14,85.71428571,0,7.142857143,43.1995679,-112.4037995
255,Idaho,2018-19,Linden Park Elementary,Idaho Falls,Bonneville,Idaho Falls,49,85.71428571,0,4.081632653,43.4901538,-112.0079968
256,Idaho,2018-19,Popplewell Elementary,Buhl,Twin Falls,Buhl,91,85.71428571,0,2.197802198,42.6038495,-114.757672
257,Idaho,2018-19,Roberts Elementary,Roberts,Jefferson,Jefferson,35,85.71428571,2.857142857,5.714285714,43.7250542,-112.1302615
258,Idaho,2018-19,Rose Hill Montessori,Boise,Ada,Private,7,85.71428571,0,0,43.597982,-116.238886
259,Idaho,2018-19,Victor Elementary,Victor,Teton,Teton,35,85.71428571,0,8.571428571,43.6030261,-111.1099229
260,Idaho,2018-19,Lighthouse Christian,TWIN FALLS,Twin Falls,Private,34,85.29411765,0,14.70588235,42.560434,-114.439316
261,Idaho,2018-19,Iowa Elementary,Nampa,Canyon,Nampa,88,85.22727273,0,5.681818182,43.555189,-116.5840689
262,Idaho,2018-19,Paramount Elementary,Meridian,Ada,West Ada,88,85.22727273,0,12.5,43.653986,-116.401072
263,Idaho,2018-19,I.B. Perrine Elementary,Twin Falls,Twin Falls,Twin Falls,101,85.14851485,0,0.9900990099,42.5756646,-114.4877422
264,Idaho,2018-19,Lapwai Elementary,Lapwai,Nez Perce,Lapwai,47,85.10638298,0,4.255319149,46.3968907,-116.8038488
265,Idaho,2018-19,Eagle Hills Elementary,Eagle,Ada,West Ada,80,85,0,13.75,43.7036614,-116.3454221
266,Idaho,2018-19,Dora Erickson Elementary,Idaho Falls,Bonneville,Idaho Falls,66,84.84848485,0,1.515151515,43.4994019,-112.012938
267,Idaho,2018-19,Rock Creek Elementary,Twin Falls,Twin Falls,Twin Falls,105,84.76190476,0.9523809524,2.857142857,42.5997263,-114.4983276
268,Idaho,2018-19,Ethel Boyes Elementary,Idaho Falls,Bonneville,Idaho Falls,72,84.72222222,0,1.388888889,43.4911797,-112.0695941
269,Idaho,2018-19,Edgemont Gardens Elementary,Idaho Falls,Bonneville,Idaho Falls,65,84.61538462,0,7.692307692,43.4796667,-112.0096188
270,Idaho,2018-19,Garfield Elementary,Boise,Ada,Boise,39,84.61538462,0,5.128205128,43.5892916,-116.193019
271,Idaho,2018-19,Mackay Elementary,Mackay,Custer,Mackay,26,84.61538462,0,0,43.9080839,-113.6081
272,Idaho,2018-19,Rimrock Elementary,Idaho Falls,Bonneville,Bonneville,65,84.61538462,1.538461538,10.76923077,43.4770392,-111.935759
273,Idaho,2018-19,Lincoln Elementary School - Twin Falls,Twin Falls,Twin Falls,Twin Falls,84,84.52380952,0,3.571428571,42.5619525,-114.4755999
274,Idaho,2018-19,Frontier Elementary,Boise,Ada,West Ada,45,84.44444444,2.222222222,4.444444444,43.6391214,-116.3298976
275,Idaho,2018-19,Adams Elementary School - Rexburg,Rexburg,Madison,Madison,70,84.28571429,1.428571429,4.285714286,43.828643,-111.7776361
276,Idaho,2018-19,Skyway Elementary School - Cda,COEUR D'ALENE,Kootenai,Coeur d'Alene,89,84.26966292,0,10.11235955,47.7323658,-116.8185278
277,Idaho,2018-19,Basin Elementary,Idaho City,Boise,Basin,19,84.21052632,0,5.263157895,43.8314106,-115.834206
