index,state,year,name,district,enroll,mmr,overall,xmed,xper,xrel,lat,lng
43,Florida,2018-19,Highlands Elementary,Duval,78,,100,0,,0,30.423252,-81.661741
44,Florida,2018-19,Holley-Navarre Intermediate,Santa Rosa,1,,100,0,,0,30.404274,-86.88734
45,Florida,2018-19,Holmes Elementary,Dade,62,,100,0,,0,25.843889,-80.229133
46,Florida,2018-19,Hospital Homebound,Volusia,2,,100,0,,0,29.14982,-81.025651
47,Florida,2018-19,Hospital Homebound Program,Seminole,1,,100,0,,0,28.73574,-81.362911
48,Florida,2018-19,Indian Pines Elementary,Palm Beach,89,,100,0,,0,26.590704,-80.13903
49,Florida,2018-19,Instructional Center System Wide,Dade,1,,100,0,,0,25.698093,-80.372874
50,Florida,2018-19,Isaac:Integrated Science And Asian Culture Academy,Dade,42,,100,0,,0,25.8213628,-80.2863506
51,Florida,2018-19,Jean O'Dell Learning Center,Polk,1,,100,0,,0,27.882892,-81.844698
52,Florida,2018-19,Jesse Keen Elementary,Polk,84,,100,0,,0,28.034557,-81.988802
53,Florida,2018-19,Joseph Williams Elementary,Alachua,57,,100,0,,0,29.645292,-82.309062
54,Florida,2018-19,Just For Girls Elementary,Manatee,6,,100,0,,0,27.49016,-82.53792
55,Florida,2018-19,K. E. Cunningham/Canal Point Elementary,Palm Beach,49,,100,0,,0,26.860423,-80.63037
56,Florida,2018-19,Kidz Choice Charter,Broward,34,,100,0,,0,26.02446,-80.264981
57,Florida,2018-19,Kinder Cub School Inc,Dixie,32,,100,0,,0,29.639465,-83.123652
58,Florida,2018-19,Kissimmee Charter Academy,Osceola,73,,100,0,,0,28.331225,-81.378246
59,Florida,2018-19,Lafayette Elementary,Lafayette,95,,100,0,,0,30.055698,-83.165161
60,Florida,2018-19,Lake Forest Elementary,Alachua,58,,100,0,,0,29.64768,-82.271566
61,Florida,2018-19,Lake Hills,Lake,2,,100,0,,0,28.70464,-81.768738
62,Florida,2018-19,Lakeview Special Education,Escambia,3,,100,0,,0,30.431504,-87.233168
63,Florida,2018-19,Lewis Anna Woodbury Elementary,Polk,105,,100,0,,0,27.743977,-81.802528
64,Florida,2018-19,Liberty Elementary,Charlotte,73,,100,0,,0,27.022011,-82.112105
65,Florida,2018-19,Lincoln-Marti Schools International Campus,Dade,49,,100,0,,0,25.46209,-80.473661
66,Florida,2018-19,Mater Academy At Mount Sinai,Dade,24,,100,0,,0,25.81312,-80.139381
67,Florida,2018-19,Mater Academy At St Cloud,Osceola,10,,100,0,,0,28.249807,-81.229638
68,Florida,2018-19,Mater Brickell Preparatory Academy,Dade,20,,100,0,,0,25.7380481,-80.2453851
69,Florida,2018-19,Mater International Academy,Dade,24,,100,0,,0,25.80755,-80.239661
70,Florida,2018-19,Mckeel Elementary Academy,Polk,90,,100,0,,0,28.047403,-81.956872
71,Florida,2018-19,Montclair Elementary,Escambia,61,,100,0,,0,30.453916,-87.2584
72,Florida,2018-19,Mt. Herman Ese Center,Duval,7,,100,0,,0,30.346319,-81.669701
73,Florida,2018-19,Neva King Cooper Educational Center,Dade,4,,100,0,,0,25.474599,-80.480539
74,Florida,2018-19,New Beginnings Education Center,Osceola,1,,100,0,,0,28.306996,-81.428893
75,Florida,2018-19,Oak Hill Academy,Duval,16,,100,0,,0,30.25264,-81.760681
76,Florida,2018-19,Panacea Prep Charter,Broward,10,,100,0,,0,26.2335,-80.252621
77,Florida,2018-19,Paul B. Stephens Ese Center,Pinellas,3,,100,0,,0,27.987209,-82.714794
78,Florida,2018-19,Pensacola Beach Elementary School Inc,Escambia,22,,100,0,,0,30.33774,-87.112462
79,Florida,2018-19,Pickett Elementary,Duval,39,,100,0,,0,30.372229,-81.746582
80,Florida,2018-19,Pine Ridge Alternative Center,Broward,1,,100,0,,0,26.105345,-80.203681
81,Florida,2018-19,Ponce De Leon Elementary,Holmes,49,,100,0,,0,30.744815,-85.9595
82,Florida,2018-19,Potentials Charter,Palm Beach,1,,100,0,,0,26.77303,-80.071945
83,Florida,2018-19,Purcell Elementary,Polk,73,,100,0,,0,27.897328,-81.972405
84,Florida,2018-19,R L Brown Gifted And Talented Academy,Duval,43,,100,0,,0,30.342075,-81.638441
85,Florida,2018-19,Reddick-Collier Elementary,Marion,71,,100,0,,0,29.368062,-82.200262
86,Florida,2018-19,Renaissance Charter School At Cooper City,Broward,132,,100,0,,0,26.034011,-80.279502
87,Florida,2018-19,Richard L. Sanders,Pinellas,1,,100,0,,0,27.841771,-82.70283
88,Florida,2018-19,Ridgeview Elementary,Clay,80,,100,0,,0,30.133226,-81.787212
89,Florida,2018-19,Robert Russa Moton Elementary,Dade,50,,100,0,,0,25.602306,-80.355541
90,Florida,2018-19,Rosenwald Elementary,Palm Beach,48,,100,0,,0,26.663243,-80.724966
91,Florida,2018-19,Sallye B. Mathis Elementary,Duval,55,,100,0,,0,30.39147,-81.705225
92,Florida,2018-19,San Antonio Elementary,Pasco,89,,100,0,,0,28.352742,-82.279703
93,Florida,2018-19,School Of Academic And Behavioral Learning Excellence (Sable,Manatee,2,,100,0,,0,27.42658,-82.552841
94,Florida,2018-19,Shore Elementary Magnet,Hillsborough,65,,100,0,,0,27.957529,-82.43769
95,Florida,2018-19,Sidney Lanier Center,Alachua,1,,100,0,,0,29.667696,-82.327552
96,Florida,2018-19,Silver Sands-Excep. Children,Okaloosa,3,,100,0,,0,30.420978,-86.638516
97,Florida,2018-19,Somerset Academy East Preparatory,Broward,41,,100,0,,0,25.992412,-80.207856
98,Florida,2018-19,Somerset Academy Pompano (K-5),Broward,20,,100,0,,0,26.272786,-80.138803
99,Florida,2018-19,Somerset Academy Riverside,Broward,30,,100,0,,0,26.25849,-80.23551
100,Florida,2018-19,Somerset Oaks Academy,Dade,51,,100,0,,0,25.480518,-80.467357
101,Florida,2018-19,St Johns County Transition Program,St. Johns,1,,100,0,,0,29.887538,-81.329279
102,Florida,2018-19,St. Andrew,Bay,14,,100,0,,0,30.174961,-85.702189
103,Florida,2018-19,St. Peter's Academy,Indian River,21,,100,0,,0,27.670201,-80.423263
104,Florida,2018-19,Sunrise Elementary,Volusia,52,,100,0,,0,28.881474,-81.175472
105,Florida,2018-19,Taylor County Elementary,Taylor,3,,100,0,,0,30.119603,-83.563898
106,Florida,2018-19,The Alva,Lee,53,,100,0,,0,26.716709,-81.609768
107,Florida,2018-19,The Island,Lee,7,,100,0,,0,26.746737,-82.261395
108,Florida,2018-19,The Quest Center,Broward,1,,100,0,,0,26.040025,-80.218071
109,Florida,2018-19,Theodore R. And Thelma A. Gibson Charter,Dade,16,,100,0,,0,25.7914,-80.202351
110,Florida,2018-19,Thomas Jefferson Elementary,Duval,70,,100,0,,0,30.325206,-81.786787
111,Florida,2018-19,Timucuan Elementary,Duval,87,,100,0,,0,30.241829,-81.723022
112,Florida,2018-19,Twin Lakes Elementary,Dade,54,,100,0,,0,25.883083,-80.294231
113,Florida,2018-19,Unity Charter School Of Cape Coral,Lee,17,,100,0,,0,26.613476,-81.973593
114,Florida,2018-19,University Park Elementary,Brevard,81,,100,0,,0,28.063699,-80.629642
115,Florida,2018-19,Village Academy On The Art & Sara Jo Kobacker Campus,Palm Beach,74,,100,0,,0,26.453718,-80.086448
116,Florida,2018-19,Visible Men Academy,Manatee,11,,100,0,,0,27.429843,-82.553254
117,Florida,2018-19,Wabasso,Indian River,1,,100,0,,0,27.75527,-80.437772
118,Florida,2018-19,Wahneta Elementary,Polk,60,,100,0,,0,27.953966,-81.72176
119,Florida,2018-19,West Broward Academy,Broward,59,,100,0,,0,26.246045,-80.197432
120,Florida,2018-19,Whispering Pines Exceptional Education Center,Broward,1,,100,0,,0,25.975901,-80.257395
121,Florida,2018-19,Whitehouse Elementary,Duval,99,,100,0,,0,30.311456,-81.847833
122,Florida,2018-19,Willis Peters Exceptional Center,Hillsborough,6,,100,0,,0,27.990336,-82.21059
123,Florida,2018-19,Yankeetown,Levy,26,,100,0,,0,29.036823,-82.690362
124,Florida,2018-19,Youth Development Center,Duval,1,,100,0,,0,30.270732,-81.591002
125,Florida,2018-19,Doral Academy,Dade,160,,99.38,0,,0.625,25.795393,-80.353832
126,Florida,2018-19,Bonifay K-8,Holmes,153,,99.35,0,,0.6535947712,30.784815,-85.699218
127,Florida,2018-19,Memorial Elementary,Desoto,146,,99.32,0,,0,27.214981,-81.851653
128,Florida,2018-19,Liberty Park Elementary,Palm Beach,141,,99.29,0,,0,26.633524,-80.151204
129,Florida,2018-19,Renaissance Charter School At West Palm Beach,Palm Beach,132,,99.24,0,,0,26.71854,-80.091149
130,Florida,2018-19,Chiefland Elementary,Levy,128,,99.22,0,,0.78125,29.480426,-82.869882
131,Florida,2018-19,Citrus Springs Elementary,Citrus,111,,99.1,0,,0,28.980791,-82.494293
132,Florida,2018-19,Greenacres Elementary,Palm Beach,111,,99.1,0,,0,26.627885,-80.122557
133,Florida,2018-19,Pembroke Pines Elementary,Broward,111,,99.1,0,,0.9009009009,26.001691,-80.22131
134,Florida,2018-19,Davenport School Of The Arts,Polk,109,,99.08,0,,0.9174311927,28.228305,-81.584553
135,Florida,2018-19,North Bay Haven Charter Academy Middle,Bay,108,,99.07,0,,0,30.235227,-85.595906
