index,state,year,name,type,city,county,enroll,mmr,overal,xmed,xper,xrel,lat,lng
3460,New York,2017-18,Pine Grove,Private,Penn Yan,Yates,,66.7,47.6,0,,33.33,42.65715155,-77.11952738
3461,New York,2017-18,Rose Valley Mennonite,Private,Clyde,Wayne,,66.7,63.6,0,,33.33,43.1267093,-76.9199397
3462,New York,2017-18,Southampton Montessori,Private,Southampton,Suffolk,,66.7,66.7,0,,33.33,40.8919642,-72.4335816
3463,New York,2017-18,Westchester Exceptional Children Ctr,Private,North Salem,Westchester,,66.7,66.7,33.33,,0,41.3298761,-73.6582476
3464,New York,2017-18,Yeshiva Farm Settlement,Private,Brooklyn,Westchester,,66.1,43,0.32,,15.51,40.7072262,-73.9599279
3465,New York,2017-18,Charles Churn Christian Academy,Private,Brooklyn,Kings,,65.9,65.9,0,,34.07,40.6697,-73.908611
3466,New York,2017-18,Yeshiva Tzoin Yosef Pupa (Boys),Private,Spring Valley,Rockland,,65.9,37.7,0,,0.67,41.126128,-74.056134
3467,New York,2017-18,Twin Mountain,Private,Fonda,Montgomery,,65.2,4.3,0,,34.78,42.9525708,-74.3729416
3468,New York,2017-18,Kid Esteem Montessori,Private,Lindenhurst,Suffolk,,64.6,58.5,0,,7.69,40.682804,-73.3828674
3469,New York,2017-18,Flint Creek,Private,Penn Yan,Yates,,64.5,48.4,0,,35.48,42.66407155,-77.05775739
3470,New York,2017-18,Valley View,Private,Mayville,Chautauqua,,64,60,0,,0,42.075587,-79.5729209
3471,New York,2017-18,Fusion Academy Lincoln Center,Private,New York,New York,,63.4,56.1,0,,2.44,40.774255,-73.9806375
3472,New York,2017-18,Crystal Light Mennonite,Private,Castorland,Lewis,,63,13,0,,0,43.88956,-75.513425
3473,New York,2017-18,Hayground,Private,Bridgehampton,Suffolk,,63,57.5,0,,35.62,40.9418286,-72.3144629
3474,New York,2017-18,Ps 310 Newcomer Academy At Lafayette,Public,Buffalo,Erie,,62.9,7.3,1.16,,0,42.9208601,-78.8847118
3475,New York,2017-18,Congregation Bais Chinuch Ateres Bno,Private,Monsey,Rockland,,62.5,46.6,0,,0.68,41.1364514,-74.0672356
3476,New York,2017-18,Talmud Torah Imrei Burech,Private,Kiamesha Lake,Sullivan,,62.5,34.9,0,,3.95,41.7001191,-74.6552553
3477,New York,2017-18,Perth Bible Christian Academy,Private,Amsterdam,Fulton,,62.3,43.4,1.89,,35.85,43.0189703,-74.1903982
3478,New York,2017-18,Sunset View School,Private,Mayville,Chautauqua,,61.7,31.9,0,,19.15,42.2583169,-79.5138676
3479,New York,2017-18,Friends Of The New Amstedam,Private,New York,New York,,61.5,57.7,0,,34.62,40.723689,-73.982395
3480,New York,2017-18,Milo Center,Private,Penn Yan,Yates,,61.5,50,0,,38.46,42.646208,-77.012248
3481,New York,2017-18,Kashong School -Loree Road,Private,Penn Yan,Yates,,60.7,57.1,0,,35.71,42.746873,-77.010935
3482,New York,2017-18,Atlas,Private,New York,New York,,60,60,0,,6.67,40.7486456,-73.9953538
3483,New York,2017-18,Fei Tian Academy Of The Arts,Private,Cuddebackville,Orange,,59.4,13.9,0,,86.14,41.4538317,-74.5889202
3484,New York,2017-18,Hudson Valley Sudbury,Private,Kingston,Ulster,,59.2,59.2,0,,40.85,41.99536,-74.080281
3485,New York,2017-18,Crystal Valley,Private,Penn Yan,Yates,,58.1,58.1,0,,41.94,42.48441157,-77.06790745
3486,New York,2017-18,Benton,Private,Penn Yan,Yates,,57.7,46.2,0,,42.31,42.70047149,-77.06917741
3487,New York,2017-18,Longview,Private,Brewster,Putnam,,57.7,42.3,3.85,,46.15,41.394,-73.616701
3488,New York,2017-18,Fei Tian Academy Of The Arts-Site 2,Private,Middletown,Orange,,57.1,35.3,0,,64.66,41.4538317,-74.5889202
