index,state,year,name,county,enroll,mmr,xmed,xper,xrel,lat,lng
295,Maine,2018-19,Blue Hill Consolidated,Hancock,24,87.5,0,12.5,0,44.2721373,-70.2127817
296,Maine,2018-19,Princeton Elementary,Washington,8,87.5,0,0,0,43.931133,-69.9711997
297,Maine,2018-19,Rangeley Lakes Regional,Franklin,16,87.5,0,12.5,0,43.9412745,-69.7826169
298,Maine,2018-19,Rsu23,York,56,87.5,0,0,0,44.7119968,-69.7980964
299,Maine,2018-19,Surry Elementary,Hancock,16,87.5,0,12.5,0,44.6060663,-67.8106945
300,Maine,2018-19,Tremont Consolidated,Hancock,16,87.5,0,6.25,0,45.0264017,-67.1035944
301,Maine,2018-19,Wiscasset Elementary,Lincoln,32,87.5,0,3.13,0,43.5330048,-70.851039
302,Maine,2018-19,Hbemery Jr. Elementary,York,46,86.96,0,13.04,0,44.639897,-69.5011524
303,Maine,2018-19,Blue Point,Cumberland,61,86.89,0,13.11,0,44.0817674,-70.2172934
304,Maine,2018-19,China Primary,Kennebec,38,86.84,0,0,5.26,43.6411985,-70.2336757
305,Maine,2018-19,Poland Community,Androscoggin,68,86.76,0,11.76,1.47,43.8008459,-69.75656
306,Maine,2018-19,St. James,York,15,86.67,6.67,0,0,44.6035004,-67.934216
307,Maine,2018-19,Bangor Christian Schools,Penobscot,21,85.71,0,9.52,4.76,44.1238007,-70.1890711
