index,state,year,name,city,enroll,mmr,lat,lng
37,Arkansas,2018-19,Linda Childers Knapp Elementary,Springdale,1081,89.63922,36.1609773,-94.1104663
38,Arkansas,2018-19,Sheridan Elementary,Sheridan,665,89.62406,34.3139353,-92.4125269
39,Arkansas,2018-19,Sulphur Rock Magnet Elementary,Sulphur Rock,318,89.62264,35.7560832,-91.4999288
40,Arkansas,2018-19,Bradley Elementary,Bradley,153,89.54248,33.1014353,-93.6605769
41,Arkansas,2018-19,Bragg Elementary,West Memphis,646,89.47368,35.1556191,-90.1908871
42,Arkansas,2018-19,Prairie Grove Elementary,Prairie Grove,918,89.43355,35.9849637,-94.3260808
43,Arkansas,2018-19,Willis Shaw Elementary Sch,Springdale,819,89.37729,36.2256,-94.2171219
44,Arkansas,2018-19,Fair Park Early Childhood Ctr,Little Rock,213,89.20188,34.7569679,-92.3326905
45,Arkansas,2018-19,Root Elementary,Fayetteville,472,89.19492,36.0811634,-94.1403133
46,Arkansas,2018-19,Julia Lee Moore Elem.,Conway,467,89.07923,35.0975941,-92.4817284
47,Arkansas,2018-19,Carver Magnet Elem.,Little Rock,446,89.01345,34.7429082,-92.2453044
48,Arkansas,2018-19,Eastside Elementary,Cabot,562,88.96797,34.9684909,-92.0072464
49,Arkansas,2018-19,Nashville Elementary,Nashville,549,88.88889,33.9561393,-93.8493432
50,Arkansas,2018-19,Elkins Elementary,Elkins,295,88.81356,36.0055514,-94.0078318
51,Arkansas,2018-19,Stagecoach Elementary,Cabot,550,88.72727,34.956587,-91.985106
52,Arkansas,2018-19,Northside Elementary,Siloam Springs,501,88.62275,36.1901885,-94.5480899
53,Arkansas,2018-19,"Jerry ""Pop"" Williams Elem Sch",Farmington,437,88.55835,36.0542105,-94.2345626
54,Arkansas,2018-19,Dequeen Elementary,De Queen,654,88.53211,34.0287039,-94.3628516
55,Arkansas,2018-19,Walker Elementary,Springdale,653,88.51455,36.1704978,-94.173826
56,Arkansas,2018-19,London Elementary,London,200,88.5,35.333781,-93.249986
57,Arkansas,2018-19,Delight Elementary,Delight,104,88.46154,34.029381,-93.5001538
58,Arkansas,2018-19,Mountain Springs Elem,Cabot,596,88.42282,35.0097694,-92.065529
59,Arkansas,2018-19,Mabelvale Elementary,Mabelvale,575,88.34783,34.6510362,-92.382742
60,Arkansas,2018-19,Harmony Grove Elem.,Camden,540,88.33333,34.5090494,-92.6434672
61,Arkansas,2018-19,Jones Elementary,Springdale,617,88.33063,36.1749393,-94.1267346
62,Arkansas,2018-19,East End Elementary,Little Rock,504,88.29365,34.5520567,-92.3399345
63,Arkansas,2018-19,Magness Creek Elementary,Cabot,408,88.23529,35.0337573,-92.0696959
64,Arkansas,2018-19,Chicot Elementary,Mabelvale,891,88.21549,34.6491779,-92.3656813
65,Arkansas,2018-19,Crestwood Elementary,North Little Rock,530,88.11321,34.8037337,-92.2441375
66,Arkansas,2018-19,Woodrow Cummins Elementary Sch,Conway,570,88.07018,35.0977191,-92.5232748
67,Arkansas,2018-19,Elm Tree Elementary,Bentonville,825,88,36.3721548,-94.2499267
68,Arkansas,2018-19,Harp Elementary,Springdale,596,87.91946,36.1603408,-94.0967016
69,Arkansas,2018-19,Pangburn Elementary,Pangburn,443,87.81039,35.4292926,-91.8352622
70,Arkansas,2018-19,Jim Stone Elementary,Conway,451,87.80488,35.084736,-92.499894
71,Arkansas,2018-19,Lakeside Primary,Hot Springs,671,87.77943,34.4717978,-92.999018
72,Arkansas,2018-19,Bellview Elementary,Rogers,466,87.76824,36.2853618,-94.173774
73,Arkansas,2018-19,Thurman G. Smith Elem.,Springdale,751,87.74967,36.2012532,-94.1726543
74,Arkansas,2018-19,Eastside Elementary,Warren,555,87.74775,34.2930355,-92.591719
75,Arkansas,2018-19,Southside Elementary,Siloam Springs,734,87.73842,36.1764313,-94.5459364
76,Arkansas,2018-19,Romine Interdist. Elem.,Little Rock,363,87.60331,34.7235242,-92.3831918
77,Arkansas,2018-19,Howard Elementary,Fort Smith,435,87.58621,35.39633,-94.4137551
78,Arkansas,2018-19,Oscar Hamilton Elementary Sch,Foreman,313,87.53994,33.7306416,-94.4076083
79,Arkansas,2018-19,Wonderview Elementary,Hattieville,345,87.53623,35.3266663,-92.7302825
80,Arkansas,2018-19,East Side Elementary,Magnolia,935,87.48663,33.2717396,-93.2255185
81,Arkansas,2018-19,Joann Walters Elementary Sch,Dierks,359,87.46518,34.1183525,-94.026444
82,Arkansas,2018-19,Hardin Elementary,Redfield,279,87.4552,34.4515687,-92.1762212
83,Arkansas,2018-19,Pea Ridge Primary,Pea Ridge,621,87.43961,36.453286,-94.125156
84,Arkansas,2018-19,Wickes Elementary,Wickes,342,87.4269,34.2981913,-94.3325815
85,Arkansas,2018-19,West Magnet Elementary,Batesville,647,87.32612,35.777911,-91.6548576
86,Arkansas,2018-19,Westside Elementary,Cabot,481,87.31809,34.962211,-92.0334747
87,Arkansas,2018-19,Woodlawn Elementary,Rison,323,87.3065,33.966655,-92.0419148
88,Arkansas,2018-19,Des Arc Elementary,Des Arc,370,87.2973,34.9723606,-91.517628
89,Arkansas,2018-19,Bearden Elementary,Bearden,291,87.28522,33.7281349,-92.6206659
