index,state,year,name,type,city,county,enroll,mmr,overall,xmed,xper,xrel,lat,lng
2992,California,2018-19,Rio Lindo Elementary,Public,Oxnard,Ventura,91,98,98,2,,,34.223323,-119.166016
2993,California,2018-19,Rio Plaza Elementary,Public,Oxnard,Ventura,94,98,98,2,,,34.23985,-119.158607
2994,California,2018-19,Rio Real Elementary,Public,Oxnard,Ventura,96,98,98,2,,,34.229726,-119.160904
2995,California,2018-19,Rio Rosales,Public,Oxnard,Ventura,80,98,98,2,,,34.210665,-119.151089
2996,California,2018-19,Rio San Gabriel Elementary,Public,Downey,Los Angeles,105,98,98,1,,,33.9382,-118.112189
2997,California,2018-19,Rio Seco Elementary,Public,Santee,San Diego,93,98,98,2,,,32.851347,-116.982303
2998,California,2018-19,Rio Vista Elementary,Public,Pico Rivera,Los Angeles,93,98,98,2,,,33.98983,-118.094675
2999,California,2018-19,Rio Vista Elementary,Public,Canyon Country,Los Angeles,54,98,98,2,,,34.425763,-118.492733
3000,California,2018-19,Rio Vista Elementary,Public,San Bernardino,San Bernardino,83,98,98,2,,,34.126059,-117.330704
3001,California,2018-19,Rio Vista School Of Applied Learning,Public,Apple Valley,San Bernardino,149,98,97,2,,,34.498725,-117.251414
3002,California,2018-19,Ripon Elementary,Public,Ripon,San Joaquin,72,98,98,2,,,37.740078,-121.12917
3003,California,2018-19,Ripona Elementary,Public,Ripon,San Joaquin,65,98,97,0,,,37.743916,-121.118958
3004,California,2018-19,Ritter Elementary,Public,Los Angeles,Los Angeles,89,98,98,2,,,33.934003,-118.227616
3005,California,2018-19,River Bluff Elementary,Public,Fresno,Fresno,130,98,98,1,,,36.834345,-119.903075
3006,California,2018-19,River Glen,Public,San Jose,Santa Clara,59,98,98,2,,,37.310709,-121.901514
3007,California,2018-19,River Islands Technology Academy Ii,Public,Lathrop,San Joaquin,74,98,98,2,,,37.799603,-121.319125
3008,California,2018-19,River Oaks Elementary,Public,Galt,Sacramento,94,98,98,2,,,38.275459,-121.295798
3009,California,2018-19,Rivera Elementary,Public,Pico Rivera,Los Angeles,107,98,98,1,,,33.975644,-118.095186
3010,California,2018-19,Riverbend Elementary,Public,Yuba City,Sutter,76,98,98,2,,,39.088389,-121.610291
3011,California,2018-19,Riverdale Elementary,Public,Garden Grove,Orange,71,98,98,2,,,33.770723,-117.896787
3012,California,2018-19,Rivergold Elementary,Public,Coarsegold,Madera,53,98,96,2,,,37.208494,-119.781175
3013,California,2018-19,Riverside Elementary,Public,Richmond,Contra Costa,53,98,96,0,,,37.952343,-122.326644
3014,California,2018-19,Riverview Elementary,Public,Norco,Riverside,50,98,98,2,,,33.948858,-117.533495
3015,California,2018-19,Riverview Stem Elementary,Public,Rancho Cordova,Sacramento,60,98,98,2,,,38.616375,-121.293048
3016,California,2018-19,Riviera Elementary,Public,Torrance,Los Angeles,108,98,96,2,,,33.808111,-118.373522
3017,California,2018-19,Robert C. Fisler Elementary,Public,Fullerton,Orange,96,98,98,2,,,33.884658,-117.961757
3018,California,2018-19,Robert Hill Lane Elementary,Public,Monterey Park,Los Angeles,70,98,98,2,,,34.0397,-118.152111
3019,California,2018-19,Robert J. Mcgarvey Elementary,Public,Rancho Cordova,Sacramento,127,98,98,0,,,38.54451,-121.233251
3020,California,2018-19,Robert L. Stevens Elementary,Public,Santa Rosa,Sonoma,90,98,98,2,,,38.419225,-122.741858
3021,California,2018-19,Robert M. Pyles Stem Academy,Public,Stanton,Orange,94,98,98,2,,,33.811757,-117.985767
3022,California,2018-19,Robert Sanders Elementary,Public,San Jose,Santa Clara,79,98,98,2,,,37.352085,-121.801817
3023,California,2018-19,Robinson Elementary,Public,Fresno,Fresno,88,98,98,2,,,36.818606,-119.778307
3024,California,2018-19,Robinson Elementary,Public,Trabuco Canyon,Orange,66,98,95,3,,,33.651019,-117.57277
3025,California,2018-19,Rock Springs Elementary,Public,Escondido,San Diego,97,98,96,2,,,33.137826,-117.106676
3026,California,2018-19,Rocketship Alma Academy,Public,San Jose,Santa Clara,157,98,97,0,,,37.31343,-121.877671
3027,California,2018-19,Rocketship Mateo Sheedy Elementary,Public,San Jose,Santa Clara,92,98,96,1,,,37.32168,-121.886541
3028,California,2018-19,Rocketship Spark Academy,Public,San Jose,Santa Clara,140,98,96,0,,,37.288348,-121.822472
3029,California,2018-19,Rocklin Elementary,Public,Rocklin,Placer,68,98,98,2,,,38.791547,-121.228392
3030,California,2018-19,Rockwood Elementary,Public,Calexico,Imperial,95,98,98,2,,,32.677896,-115.495712
3031,California,2018-19,Rocky Hill Elementary,Public,Exeter,Tulare,97,98,98,2,,,36.30357,-119.141231
3032,California,2018-19,Rod Kelley Elementary,Public,Gilroy,Santa Clara,111,98,97,0,,,37.020959,-121.592263
3033,California,2018-19,Rodriguez Elementary,Public,San Diego,San Diego,78,98,96,0,,,32.69777,-117.126171
3034,California,2018-19,Roeding Elementary,Public,Fresno,Fresno,94,98,98,2,,,36.78613,-119.825616
3035,California,2018-19,Roger Anton Elementary,Public,San Bernardino,San Bernardino,122,98,98,0,,,34.127712,-117.268338
3036,California,2018-19,Rolando Elementary,Public,La Mesa,San Diego,76,98,98,2,,,32.762751,-117.048196
3037,California,2018-19,Rolando Park Elementary,Public,San Diego,San Diego,52,98,98,2,,,32.74701,-117.054792
3038,California,2018-19,Rolling Hills Elementary,Public,Fullerton,Orange,82,98,98,2,,,33.902012,-117.901746
3039,California,2018-19,Rolling Ridge Elementary,Public,Chino Hills,San Bernardino,79,98,98,2,,,34.004786,-117.745193
3040,California,2018-19,Rollingwood Elementary,Public,San Bruno,San Mateo,55,98,96,0,,,37.630776,-122.444215
3041,California,2018-19,Ronald E. Mcnair Elementary,Public,Compton,Los Angeles,70,98,96,0,,,33.915497,-118.248609
3042,California,2018-19,Ronald Reagan Elementary,Public,Eastvale,Riverside,249,98,97,0,,,33.937405,-117.598199
