index,state,year,name,type,city,enroll,mmr,lat,lng
339,Pennsylvania,2017,Shady Side Academy Junior,,Pittsburgh,44,100,40.4442956,-79.8973255
340,Pennsylvania,2017,Shamona Creek Elementary,,Downingtown,72,100,40.0578721,-75.7014883
341,Pennsylvania,2017,Sheppard Isaac,,Philadelphia,44,100,39.9937178,-75.1316199
342,Pennsylvania,2017,Shiloh Hills Elementary,,West Lawn,79,100,40.3309445,-76.0005644
343,Pennsylvania,2017,Shipley,,Bryn Mawr,25,100,40.0249231,-75.3152354
344,Pennsylvania,2017,Shir Ami Bucks Co Jewish Cong,,Newtown,26,100,40.224801,-74.9479848
345,Pennsylvania,2017,Smedley Street,,Oil City,53,100,41.4219049,-79.7203212
346,Pennsylvania,2017,Southeast Elementary,,Lebanon,77,100,40.3367972,-76.4034266
347,Pennsylvania,2017,Spring City Elementary,,Spring City,30,100,40.171414,-75.549862
348,Pennsylvania,2017,Spring Ridge Elementary,,West Lawn,87,100,40.3460588,-75.9862736
349,Pennsylvania,2017,Springside Chestnut Hill Academy,,Philadelphia,33,100,40.0619201,-75.2085308
350,Pennsylvania,2017,Ss Peter And Paul,,West Chester,29,100,40.0010803,-75.5737358
351,Pennsylvania,2017,Ss Simon & Jude,,West Chester,25,100,39.9660032,-75.5235895
352,Pennsylvania,2017,St Albert The Great,,Huntingdon Valley,45,100,40.1133743,-75.0597001
353,Pennsylvania,2017,St Aloysius,,Pottstown,25,100,40.2527449,-75.6188691
354,Pennsylvania,2017,St Anastasia,,Newtown Square,53,100,39.9846309,-75.384192
355,Pennsylvania,2017,St Andrew,,Newtown,73,100,40.2524702,-74.94751
356,Pennsylvania,2017,St Andrew,,Drexel Hill,42,100,39.948662,-75.2978039
357,Pennsylvania,2017,St Ann,,Emmaus,32,100,40.5283586,-75.4913172
358,Pennsylvania,2017,St Anne,,Bethlehem,28,100,40.6344239,-75.3672239
359,Pennsylvania,2017,St Anselm Elementary,,Philadelphia,31,100,40.1024013,-74.9723391
360,Pennsylvania,2017,St Benedict The Moor,,Pittsburgh,25,100,40.4495298,-79.9712009
361,Pennsylvania,2017,St Bernadette,,Monroeville,24,100,40.440756,-79.771726
362,Pennsylvania,2017,St Catherine Laboure,,Harrisburg,38,100,40.2581808,-76.8156918
363,Pennsylvania,2017,St Cecilia,,Philadelphia,74,100,40.0767893,-75.0805498
364,Pennsylvania,2017,St Charles Borromeo,,Bensalem,20,100,40.0759354,-74.9566145
365,Pennsylvania,2017,St Cornelius,,Chadds Ford,25,100,39.8656175,-75.5587372
366,Pennsylvania,2017,St Cyril Alexandria,,East Lansdowne,27,100,39.9447072,-75.2602183
367,Pennsylvania,2017,St Dorothy,,Drexel Hill,56,100,39.9557456,-75.3196863
368,Pennsylvania,2017,St Elizabeth Parish,,Uwchlan,31,100,40.0887928,-75.6905275
369,Pennsylvania,2017,St Elizabeth Regional,,Whitehall,27,100,40.6296455,-75.4711654
370,Pennsylvania,2017,St Ephrem,,Bensalem,40,100,40.1252315,-74.9280054
371,Pennsylvania,2017,St Francis Of Assisi,,Springfield,32,100,39.9298164,-75.3340329
372,Pennsylvania,2017,St Genevieve,,Flourtown,28,100,40.1012201,-75.2134922
373,Pennsylvania,2017,St George,,Philadelphia,20,100,39.988562,-75.093199
374,Pennsylvania,2017,St Helena,,Blue Bell,43,100,40.1569964,-75.302891
375,Pennsylvania,2017,St Hilary Of Poiters,,Rydal,27,100,40.0990723,-75.0974779
376,Pennsylvania,2017,St Ignatius,,Yardley,24,100,40.230947,-74.839524
377,Pennsylvania,2017,St Joseph,,Downingtown,65,100,40.0075438,-75.7163419
378,Pennsylvania,2017,St Joseph,,York,39,100,39.9705625,-76.6665913
379,Pennsylvania,2017,St Joseph The Protector,,Glenside,28,100,40.1033542,-75.1523015
380,Pennsylvania,2017,St Joseph The Worker-Orefield,,Orefield,44,100,40.6072639,-75.5914097
381,Pennsylvania,2017,St Joseph-St Robert,,Warrington,34,100,40.2338993,-75.1328426
382,Pennsylvania,2017,St Katharine Drexel Regional Catholic,,Holland,51,100,40.200278,-74.9827247
383,Pennsylvania,2017,St Katharine Of Siena,,Wayne,41,100,40.0419554,-75.3821658
384,Pennsylvania,2017,St Laurence,,Upper Darby,24,100,39.966779,-75.2796289
385,Pennsylvania,2017,St Luke,,Erie,36,100,42.1049601,-80.0563086
386,Pennsylvania,2017,St Margaret Mary,,Harrisburg,25,100,40.2820279,-76.8466337
387,Pennsylvania,2017,St Mary Magdalen,,Media,37,100,39.9471774,-75.4088611
