index,state,year,name,city,county,district,enroll,mmr,overall,xmed,xper,xrel,lat,lng
45,North Dakota,2017-18,Minto Elementary,Minto,Walsh,,19.00,100.00,,0,0,0,48.294267,-97.375146
46,North Dakota,2017-18,Mls-Mohall Elementary,Mohall,Renville,,21.00,100.00,,0,0,0,48.766985,-101.511238
47,North Dakota,2017-18,Montpelier Elementary,Montpelier,Stutsman,,7.00,100.00,,0,0,0,46.697122,-98.58734
48,North Dakota,2017-18,Mt Pleasant Elementary,Rolla,Rolette,,20.00,100.00,,0,0,0,48.862921,-99.611679
49,North Dakota,2017-18,Munich Elementary,Munich,Cavalier,,7.00,100.00,,0,0,0,48.666449,-98.835183
50,North Dakota,2017-18,New Rockford-Sheyenne Elementary,New Rockford,Eddy,,19.00,100.00,,0,0,0,47.680701,-99.132009
51,North Dakota,2017-18,North Border-Walhalla Elementary,Walhalla,Pembina,,8.00,100.00,,0,0,0,48.924215,-97.918244
52,North Dakota,2017-18,North Plains Elementary,Minot AFB,Ward,,44.00,100.00,,0,0,0,48.427163,-101.322399
53,North Dakota,2017-18,North Star Elementary,Cando,Towner,,25.00,100.00,,0,0,0,48.489913,-99.208795
54,North Dakota,2017-18,Ojibwa Indian,Belcourt,Rolette,,44.00,100.00,,0,0,0,48.807059,-99.785888
55,North Dakota,2017-18,Page Elementary,Page,Cass,,10.00,100.00,,0,0,0,47.161103,-97.570322
56,North Dakota,2017-18,Parshall Elementary,Parshall,Mountrail,,30.00,100.00,,0,0,0,47.955286,-102.138005
57,North Dakota,2017-18,Perkett Elementary,Minot,Ward,,61.00,100.00,,0,1.639344262,0,48.230669,-101.321999
58,North Dakota,2017-18,Pingree-Buchanan Elementary,Buchanan,Stutsman,,9.00,100.00,,0,0,0,47.062072,-98.830095
59,North Dakota,2017-18,Rhame Elementary,Rhame,Bowman,,9.00,100.00,,0,0,0,46.233617,-103.647613
60,North Dakota,2017-18,Rolette Elementary,Rolette,Rolette,,10.00,100.00,,0,0,0,48.662401,-99.838689
61,North Dakota,2017-18,Round Prairie Elementary,Williston,Williams ,,9.00,100.00,,0,0,0,48.154012,-103.948542
62,North Dakota,2017-18,Scranton Elementary,Scranton,Bowman,,10.00,100.00,,0,0,0,46.153298,-103.142582
63,North Dakota,2017-18,South Heart Elementary,South Heart,Stark,,36.00,100.00,,0,0,0,46.866892,-102.991281
